Dataset,Precision_Original,Precision_Generated,Recall_Original,Recall_Generated,F1_Original,F1_Generated,Num_Fake_Samples,Synthetic/Original_Ratio
diabetes,0.6385542168674698,0.7701149425287356,0.6625,0.8375,0.6503067484662577,0.8023952095808383,100,37.3134328358209
mammography,0.9166666666666666,0.9636363636363636,0.5945945945945946,0.7162162162162162,0.7213114754098361,0.8217054263565892,100,38.46153846153846
creditcard_sampled,0.8666666666666667,0.875,0.7647058823529411,0.8235294117647058,0.8125,0.8484848484848485,50,100.0
