Dataset,Precision_Original,Recall_Original,F1_Original,Precision_Generated,Recall_Generated,F1_Generated,Num_Fake_Samples,Synthetic/Original_Ratio
mammography,0.9166666666666666,0.5945945945945946,0.7213114754098361,0.9642857142857143,0.7297297297297297,0.8307692307692308,100,100.0
oil,0.6,0.2727272727272727,0.375,0.9,0.8181818181818182,0.8571428571428571,100,100.0
creditcard_sampled,0.8666666666666667,0.7647058823529411,0.8125,0.8823529411764706,0.8823529411764706,0.8823529411764706,100,100.0
HTRU,0.9376443418013857,0.8353909465020576,0.8835690968443961,0.9703196347031964,0.8744855967078189,0.9199134199134199,100,100.0
diabetes,0.6385542168674698,0.6625,0.6503067484662577,0.735632183908046,0.8,0.7664670658682635,100,100.0
