step,mloss,gloss,loss
17000.0,0.0,0.152,0.152
17100.0,0.0,0.1529,0.1529
17200.0,0.0,0.1505,0.1505
17300.0,0.0,0.1522,0.1522
17400.0,0.0,0.1509,0.1509
17500.0,0.0,0.1503,0.1503
17600.0,0.0,0.1534,0.1534
17700.0,0.0,0.1495,0.1495
17800.0,0.0,0.1519,0.1519
17900.0,0.0,0.1518,0.1518
18000.0,0.0,0.1501,0.1501
18100.0,0.0,0.1503,0.1503
18200.0,0.0,0.1496,0.1496
18300.0,0.0,0.1476,0.1476
18400.0,0.0,0.1483,0.1483
18500.0,0.0,0.148,0.148
18600.0,0.0,0.1482,0.1482
18700.0,0.0,0.1468,0.1468
18800.0,0.0,0.1466,0.1466
18900.0,0.0,0.1479,0.1479
19000.0,0.0,0.1459,0.1459
19100.0,0.0,0.1464,0.1464
19200.0,0.0,0.1458,0.1458
19300.0,0.0,0.1452,0.1452
19400.0,0.0,0.1457,0.1457
19500.0,0.0,0.1465,0.1465
19600.0,0.0,0.1433,0.1433
19700.0,0.0,0.1453,0.1453
19800.0,0.0,0.145,0.145
19900.0,0.0,0.145,0.145
20000.0,0.0,0.1437,0.1437
20100.0,0.0,0.1433,0.1433
20200.0,0.0,0.1443,0.1443
20300.0,0.0,0.1437,0.1437
20400.0,0.0,0.1431,0.1431
20500.0,0.0,0.1421,0.1421
20600.0,0.0,0.142,0.142
20700.0,0.0,0.1439,0.1439
20800.0,0.0,0.1428,0.1428
20900.0,0.0,0.1414,0.1414
21000.0,0.0,0.1427,0.1427
21100.0,0.0,0.142,0.142
21200.0,0.0,0.1406,0.1406
21300.0,0.0,0.1411,0.1411
21400.0,0.0,0.1407,0.1407
21500.0,0.0,0.1419,0.1419
21600.0,0.0,0.1407,0.1407
21700.0,0.0,0.1407,0.1407
21800.0,0.0,0.1393,0.1393
21900.0,0.0,0.1395,0.1395
22000.0,0.0,0.1398,0.1398
22100.0,0.0,0.1391,0.1391
22200.0,0.0,0.1383,0.1383
22300.0,0.0,0.1388,0.1388
22400.0,0.0,0.1385,0.1385
22500.0,0.0,0.1379,0.1379
22600.0,0.0,0.1388,0.1388
22700.0,0.0,0.1378,0.1378
22800.0,0.0,0.1381,0.1381
22900.0,0.0,0.1399,0.1399
23000.0,0.0,0.1368,0.1368
23100.0,0.0,0.1367,0.1367
23200.0,0.0,0.1385,0.1385
23300.0,0.0,0.1372,0.1372
23400.0,0.0,0.1358,0.1358
23500.0,0.0,0.1362,0.1362
23600.0,0.0,0.1368,0.1368
23700.0,0.0,0.1351,0.1351
23800.0,0.0,0.1362,0.1362
23900.0,0.0,0.1361,0.1361
24000.0,0.0,0.1339,0.1339
24100.0,0.0,0.1356,0.1356
24200.0,0.0,0.1345,0.1345
24300.0,0.0,0.1342,0.1342
24400.0,0.0,0.1332,0.1332
24500.0,0.0,0.1338,0.1338
24600.0,0.0,0.1351,0.1351
24700.0,0.0,0.1323,0.1323
24800.0,0.0,0.1351,0.1351
24900.0,0.0,0.1321,0.1321
25000.0,0.0,0.1331,0.1331
25100.0,0.0,0.1341,0.1341
25200.0,0.0,0.1311,0.1311
25300.0,0.0,0.1327,0.1327
25400.0,0.0,0.1326,0.1326
25500.0,0.0,0.1306,0.1306
25600.0,0.0,0.1319,0.1319
25700.0,0.0,0.1307,0.1307
25800.0,0.0,0.1313,0.1313
25900.0,0.0,0.1301,0.1301
26000.0,0.0,0.1316,0.1316
26100.0,0.0,0.131,0.131
26200.0,0.0,0.1301,0.1301
26300.0,0.0,0.1292,0.1292
26400.0,0.0,0.1297,0.1297
26500.0,0.0,0.1302,0.1302
26600.0,0.0,0.1309,0.1309
26700.0,0.0,0.13,0.13
26800.0,0.0,0.1298,0.1298
26900.0,0.0,0.1284,0.1284
27000.0,0.0,0.1286,0.1286
27100.0,0.0,0.1286,0.1286
27200.0,0.0,0.1285,0.1285
27300.0,0.0,0.1289,0.1289
27400.0,0.0,0.127,0.127
27500.0,0.0,0.1279,0.1279
27600.0,0.0,0.1272,0.1272
27700.0,0.0,0.129,0.129
27800.0,0.0,0.1284,0.1284
27900.0,0.0,0.1284,0.1284
28000.0,0.0,0.1274,0.1274
28100.0,0.0,0.1274,0.1274
28200.0,0.0,0.1273,0.1273
28300.0,0.0,0.1257,0.1257
28400.0,0.0,0.1274,0.1274
28500.0,0.0,0.1251,0.1251
28600.0,0.0,0.1267,0.1267
28700.0,0.0,0.1252,0.1252
28800.0,0.0,0.1247,0.1247
28900.0,0.0,0.1243,0.1243
29000.0,0.0,0.1252,0.1252
29100.0,0.0,0.1267,0.1267
29200.0,0.0,0.1243,0.1243
29300.0,0.0,0.1257,0.1257
29400.0,0.0,0.1233,0.1233
29500.0,0.0,0.1228,0.1228
29600.0,0.0,0.1242,0.1242
29700.0,0.0,0.125,0.125
29800.0,0.0,0.1233,0.1233
29900.0,0.0,0.1234,0.1234
30000.0,0.0,0.1236,0.1236
