Dataset,Precision_Original,Recall_Original,F1_Original,Precision_Generated,Recall_Generated,F1_Generated,Num_Fake_Samples
yeast_ml8_dataset,0.0,0.0,0.0,1.0,0.5510204081632653,0.7105263157894737,100
oil,0.6,0.2727272727272727,0.37499999999999994,0.875,0.6363636363636364,0.7368421052631579,41
mammography,0.9166666666666666,0.5945945945945946,0.7213114754098361,0.9661016949152542,0.7702702702702703,0.8571428571428571,100
HTRU,0.9376443418013857,0.8353909465020576,0.883569096844396,0.9793577981651376,0.8786008230452675,0.9262472885032538,100
diabetes,0.6385542168674698,0.6625,0.6503067484662576,0.7204301075268817,0.8375,0.7745664739884393,100
creditcard_sampled,0.8666666666666667,0.7647058823529411,0.8125,0.875,0.8235294117647058,0.8484848484848485,50
